,PTY_PROFILE_SUB_TYPE,SOCIO_ECONOMIC_SEGMENT,PARTY_NATIONALITY,PARTY_GENDER_CD,TARGET,YEAR_JOINED,CURRENT_YEAR,BILL_AMOUNT,PAID_AMOUNT,PAYMENT_TRANSACTIONS,PARTY_REV,PREPAID_LINES,POSTPAID_LINES,OTHER_LINES,LINE_REV,STATUS,MOUS_TO_LOCAL_MOBILES,MOUS_FROM_LOCAL_MOBILES,MOUS_TO_LOCAL_LANDLINES,MOUS_FROM_LOCAL_LANDLINES,MOUS_TO_INT_NUMBER,MOUS_FROM_INT_NUMBER,DATA_IN_BNDL,DATA_OUT_BNDL,DATA_USG_PAYG,COMPLAINTS,Years_stayed
258696,Residential,EXPATS,India,M,0,2012,2019,199.4984772,277.5,1,766.435,3,1,2,229.3483333,ACTIVE,203.615,37.96,13.325,28.215,0,3.405,2446.86084,0,0,0,7
258697,Residential,EXPATS,Venezuela,M,0,2012,2019,571.8926352,589.1366667,1,2170.69,0,2,1,597.055,ACTIVE,118.73,29.265,7.15,34.96,119.095,4.3,13978.74072,0,0,0,7
258698,Residential,EXPATS,Ireland,M,0,2012,2019,334.3760013,332.09,1,1834.728333,0,2,1,310.4916667,ACTIVE,26.19,43.875,14.08,18.715,0,0.225,1320.794922,0,0,0,7
258699,Residential,EXPATS,Jordan,M,0,2012,2019,446.3165286,433.3333333,1,967.4466667,2,1,1,439.765,ACTIVE,1022.835,27.26,12.835,42.665,46.55,0,8050.063477,0,0,0,7
258700,Prestige,EXPATS,United Kingdom,M,0,2012,2019,595.8995,869.3416667,2,1398.485,0,2,1,852.405,ACTIVE,235.525,20.21,9.725,17.675,216.275,1.16,6366.328125,0,0,0,7
258701,Residential,EMIRATI,United Arab Emirates,F,0,2012,2019,425.3638634,434.8116667,1,395.4066667,0,1,0,395.4066667,ACTIVE,160.23,154.735,112.465,42.575,0,1.73,5920.664063,0,187,0,7
258702,Residential,EMIRATI,United Arab Emirates,F,0,2012,2019,665.4939572,734.8833333,1,703.1516667,0,1,0,703.1516667,ACTIVE,505.62,15.14,15.91,6.195,5.975,0,25107.36328,0,0,0,7
258703,Prestige,EXPATS,Egypt,M,0,2012,2019,841.0704911,840.0266667,1,3901.441667,5,3,2,800.0433333,ACTIVE,739.29,149.65,43.44,169.065,416.245,95.89,1429.21875,0,0,0,7
258704,Residential,EXPATS,Lebanon,M,0,2012,2019,100.0440514,113.5866667,1,898.8116667,1,2,1,108.1766667,ACTIVE,22.835,0,0,0.02,66.395,0,0,0,0,0,7
258705,Prestige,EXPATS,Lebanon,M,0,2012,2019,1015.089759,1022.593333,1,1631.101667,2,1,1,979.4416667,ACTIVE,980.53,522.8,30.75,64.045,61.775,38.59,12409.46191,0,0,0,7
